0.245,0.480,0.747,0.767,0.248,0.743,0.610,0.784,0.055,0.026
0.075,0.859,0.964,0.941,0.431,0.726,0.732,0.782,0.929,0.210
0.177,0.966,0.965,0.683,0.148,0.717,0.619,0.332,0.091,0.302
0.929,0.165,0.919,0.562,0.628,0.590,0.820,0.769,0.683,0.539
0.057,0.169,0.465,0.824,0.356,0.547,0.425,0.120,0.644,0.870
0.460,0.421,0.046,0.495,0.085,0.178,0.028,0.416,0.733,0.108
0.912,0.646,0.204,0.807,0.437,0.883,0.209,0.549,0.619,0.002
0.066,0.572,0.487,0.583,0.332,0.144,0.762,0.655,0.248,0.029
0.448,0.039,0.884,0.998,0.835,0.331,0.480,0.089,0.734,0.125
0.660,0.920,0.107,0.803,0.512,0.883,0.190,0.140,0.786,0.329
